gesture_id,label,start_time,end_time,ax,ay,az,gx,gy,gz
49,IDLE,1768044809.857137,1768044810.9563878,-15140,4788,340,-2293,981,-1646
49,IDLE,1768044809.857137,1768044810.9563878,-15336,4780,360,-1561,769,-1439
50,IDLE,1768044810.9637494,1768044812.046754,-15496,4796,228,-937,545,-1142
50,IDLE,1768044810.9637494,1768044812.046754,-15732,4848,212,-412,292,-907
50,IDLE,1768044810.9637494,1768044812.046754,-15668,4952,-72,373,-117,-429
50,IDLE,1768044810.9637494,1768044812.046754,-15512,4996,-292,1411,-199,248
50,IDLE,1768044810.9637494,1768044812.046754,-15424,4980,-444,2050,-40,729
50,IDLE,1768044810.9637494,1768044812.046754,-15484,5152,-452,2047,76,702
50,IDLE,1768044810.9637494,1768044812.046754,-15392,5448,-404,1209,-113,415
50,IDLE,1768044810.9637494,1768044812.046754,-15216,5180,-380,440,-222,182
50,IDLE,1768044810.9637494,1768044812.046754,-15104,5028,-544,415,-107,144
50,IDLE,1768044810.9637494,1768044812.046754,-15032,4900,-476,502,87,110
50,IDLE,1768044810.9637494,1768044812.046754,-15072,5128,-388,202,271,-72
50,IDLE,1768044810.9637494,1768044812.046754,-15156,5220,-220,-395,341,-299
50,IDLE,1768044810.9637494,1768044812.046754,-15408,5108,-72,-564,225,-226
50,IDLE,1768044810.9637494,1768044812.046754,-15632,5180,-192,-315,-222,-184
50,IDLE,1768044810.9637494,1768044812.046754,-15468,5312,-100,-414,336,-155
50,IDLE,1768044810.9637494,1768044812.046754,-15436,5332,-60,-566,357,-137
50,IDLE,1768044810.9637494,1768044812.046754,-15432,5232,112,-564,288,-110
50,IDLE,1768044810.9637494,1768044812.046754,-15416,5196,128,-557,307,-91
50,IDLE,1768044810.9637494,1768044812.046754,-15340,5036,160,-486,302,-35
50,IDLE,1768044810.9637494,1768044812.046754,-15456,4916,44,-337,264,56
50,IDLE,1768044810.9637494,1768044812.046754,-15320,4852,-44,-129,74,202
50,IDLE,1768044810.9637494,1768044812.046754,-15264,4836,-268,-5,-34,188
50,IDLE,1768044810.9637494,1768044812.046754,-15160,4744,-416,17,-27,108
50,IDLE,1768044810.9637494,1768044812.046754,-15192,4716,-532,-40,63,67
50,IDLE,1768044810.9637494,1768044812.046754,-15268,4868,-524,-190,168,30
50,IDLE,1768044810.9637494,1768044812.046754,-15280,4848,-300,-227,58,99
50,IDLE,1768044810.9637494,1768044812.046754,-15340,4908,-356,-214,47,119
50,IDLE,1768044810.9637494,1768044812.046754,-15336,4952,-296,-327,50,121
50,IDLE,1768044810.9637494,1768044812.046754,-15288,4912,-352,-349,62,113
50,IDLE,1768044810.9637494,1768044812.046754,-15184,4932,-308,-382,140,100
50,IDLE,1768044810.9637494,1768044812.046754,-15204,4876,-184,-410,203,32
50,IDLE,1768044810.9637494,1768044812.046754,-15312,4996,-144,-319,247,61
50,IDLE,1768044810.9637494,1768044812.046754,-15384,5124,48,-351,216,68
50,IDLE,1768044810.9637494,1768044812.046754,-15576,5156,188,-284,380,147
50,IDLE,1768044810.9637494,1768044812.046754,-15952,5400,248,-35,544,228
50,IDLE,1768044810.9637494,1768044812.046754,-16236,5724,88,46,408,406
50,IDLE,1768044810.9637494,1768044812.046754,-16404,6076,52,79,268,1024
50,IDLE,1768044810.9637494,1768044812.046754,-16256,5940,440,786,156,1800
50,IDLE,1768044810.9637494,1768044812.046754,-16044,5692,324,2085,153,2885
50,IDLE,1768044810.9637494,1768044812.046754,-15572,5460,-148,3342,-15,3967
50,IDLE,1768044810.9637494,1768044812.046754,-15048,5512,-164,3797,-170,4064
50,IDLE,1768044810.9637494,1768044812.046754,-14552,5484,-52,3035,-295,3511
50,IDLE,1768044810.9637494,1768044812.046754,-14128,5328,-144,1909,-640,2717
50,IDLE,1768044810.9637494,1768044812.046754,-13896,5272,-204,980,-1024,1811
50,IDLE,1768044810.9637494,1768044812.046754,-13724,5248,-348,372,-1146,1160
50,IDLE,1768044810.9637494,1768044812.046754,-13920,5208,-416,-28,-965,430
50,IDLE,1768044810.9637494,1768044812.046754,-14200,5420,-616,-227,-703,-207
50,IDLE,1768044810.9637494,1768044812.046754,-14452,5700,-780,-666,-397,-559
