label,thumb_mean,thumb_std,index_mean,index_std,middle_mean,middle_std,ring_mean,ring_std,pinky_mean,pinky_std,accX_mean,accX_std,accY_mean,accY_std,accZ_mean,accZ_std,gyroX_mean,gyroX_std,gyroY_mean,gyroY_std,gyroZ_mean,gyroZ_std
WE,1186.6,1.5,0.0,0.0,913.85,1.01,0.0,0.0,0.0,0.0,16425.6,166.28,2132.6,410.1,2135.0,406.2,-43.25,317.16,320.45,417.74,198.65,361.13
WE,1187.15,2.08,0.0,0.0,914.6,1.28,37.8,43.5,0.0,0.0,16541.8,378.28,1205.8,956.67,2078.2,498.03,-1147.3,1551.76,195.4,579.64,452.6,813.33
WE,1186.35,0.73,15.05,35.84,913.5,3.68,123.95,4.67,0.0,0.0,16484.2,178.61,1182.6,225.02,2327.4,257.02,-91.7,454.23,391.9,538.02,-46.9,183.69
WE,1186.0,5.66,14.95,35.59,913.7,3.61,124.6,5.43,0.0,0.0,16499.8,197.62,1169.0,257.94,2434.8,217.87,-323.9,359.03,151.95,615.9,122.75,232.18
WE,1186.0,2.02,0.0,0.0,914.8,1.03,126.35,1.8,0.0,0.0,16475.6,280.23,1163.6,236.0,2228.0,448.28,-156.85,392.32,412.95,650.26,44.4,305.03
WE,1185.8,1.21,96.6,23.16,913.9,1.14,133.95,3.02,0.0,0.0,16420.8,105.22,1212.2,199.04,2740.0,198.86,-238.85,178.39,401.9,235.53,115.5,119.95
WE,1186.4,1.16,115.15,1.46,914.3,1.14,131.75,3.03,0.0,0.0,16408.0,83.85,1120.0,141.6,2907.8,143.14,-314.0,103.87,282.65,202.31,69.45,77.76
WE,1186.0,1.18,116.65,5.99,914.6,1.53,132.85,5.26,0.0,0.0,16492.8,241.49,1211.8,258.92,2521.8,488.98,-379.35,389.75,80.9,653.09,-39.25,294.25
WE,1186.3,1.27,129.0,3.96,915.5,2.33,138.7,1.68,0.0,0.0,16448.4,91.65,1260.0,127.2,2829.4,249.0,-254.8,184.78,462.55,213.91,104.4,92.75
WE,1187.75,1.22,143.25,2.21,915.4,0.97,137.1,1.61,0.0,0.0,16372.2,112.17,1051.0,167.49,3261.8,214.32,-328.35,292.03,336.2,282.09,125.35,151.54
WE,1185.6,2.37,138.35,3.21,914.95,1.2,135.15,2.06,0.0,0.0,16354.2,81.14,1086.6,171.19,3211.2,284.86,-324.3,157.81,188.6,291.28,38.35,146.16
